area,perimeter,inertia11,inertia12,inertia21,inertia22,x,y,density_around,area_around,N,NW,img
10.0,8.621320343559642,0.41,0.13999999999999999,0.13999999999999999,1.56,473.7,2.2,11.0,0.022,150.0,33.0,0.0
6.0,6.414213562373095,0.9166666666666666,0.25,0.25,0.25,37.5,1.5,13.0,0.054,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,285.5,1.0,21.0,0.04,150.0,33.0,0.0
2.0,0.0,0.0,-0.0,-0.0,0.25,330.0,1.5,17.0,0.0436,150.0,33.0,0.0
10.0,10.449747468305834,1.69,-0.8300000000000001,-0.8300000000000001,0.8099999999999999,276.1,4.7,22.0,0.0824,150.0,33.0,0.0
8.0,7.414213562373095,0.609375,-0.140625,-0.140625,0.609375,513.125,3.875,20.0,0.0464,150.0,33.0,0.0
10.0,9.242640687119286,0.65,-0.0,-0.0,1.0400000000000003,501.5,5.6,14.0,0.0448,150.0,33.0,0.0
8.0,6.207106781186548,1.109375,-0.5625,-0.5625,0.75,335.875,6.5,16.0,0.05,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,-0.11111111111111112,-0.11111111111111112,0.22222222222222224,584.6666666666666,5.333333333333333,14.0,0.0508,150.0,33.0,0.0
16.0,11.621320343559642,5.93359375,0.95703125,0.95703125,0.58984375,289.0625,7.3125,23.0,0.086,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,616.5,6.0,18.0,0.0532,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,77.0,7.0,13.0,0.0256,150.0,33.0,0.0
9.0,8.242640687119286,0.4444444444444444,-0.37037037037037046,-0.37037037037037046,1.432098765432099,301.6666666666667,9.11111111111111,23.0,0.0432,150.0,33.0,0.0
14.0,12.242640687119286,2.061224489795918,-0.41836734693877553,-0.41836734693877553,0.7397959183673469,364.7142857142857,8.214285714285714,18.0,0.0468,150.0,33.0,0.0
7.0,6.82842712474619,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5714285714285714,592.0,8.0,20.0,0.0508,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,623.0,7.0,18.0,0.06,150.0,33.0,0.0
4.0,4.0,0.25,-0.0,-0.0,0.25,647.5,7.5,20.0,0.0672,150.0,33.0,0.0
3.0,3.414213562373095,0.22222222222222224,-0.11111111111111112,-0.11111111111111112,0.22222222222222224,400.3333333333333,8.666666666666666,15.0,0.0432,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,477.0,8.0,13.0,0.0288,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,510.0,8.0,20.0,0.0448,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,639.5,8.0,21.0,0.0548,150.0,33.0,0.0
7.0,7.207106781186548,0.2448979591836735,0.12244897959183672,0.12244897959183672,1.0612244897959184,319.57142857142856,10.714285714285714,18.0,0.0548,150.0,33.0,0.0
4.0,4.0,0.25,-0.0,-0.0,0.25,497.5,9.5,10.0,0.0308,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,576.0,9.0,13.0,0.0576,150.0,33.0,0.0
24.0,19.071067811865476,2.2430555555555554,1.795138888888889,1.795138888888889,3.831597222222222,216.91666666666666,13.458333333333334,11.0,0.0452,150.0,33.0,0.0
2.0,0.0,0.25,-0.0,-0.0,0.0,381.5,10.0,18.0,0.0384,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,417.0,10.0,14.0,0.0652,150.0,33.0,0.0
1.0,0.0,0.0,-0.0,-0.0,0.0,628.0,10.0,20.0,0.0592,150.0,33.0,0.0
15.0,13.242640687119287,1.84,-0.8666666666666667,-0.8666666666666667,1.3333333333333333,14.6,13.0,16.0,0.0656,150.0,33.0,0.0
4.0,4.621320343559642,0.1875,-0.0,-0.0,0.5,79.75,12.0,16.0,0.0352,150.0,33.0,0.0
9.0,7.621320343559642,1.1358024691358024,0.3950617283950617,0.3950617283950617,0.54320987654321,157.44444444444446,11.88888888888889,10.0,0.0248,150.0,33.0,0.0
8.0,8.242640687119286,0.609375,-0.46875,-0.46875,0.9375,232.875,12.75,19.0,0.0288,150.0,33.0,0.0
2.0,0.0,0.0,-0.0,-0.0,0.25,284.0,11.5,21.0,0.0752,150.0,33.0,0.0
